text;optionA;optionB;optionC;optionD;correctIndex;level
Was nennt man das Schneidewerkzeug eines Kochs?;Pfanne;Messer;Topf;Sieb;1;1
Wie heißt das Grundgewürz aus Pfeffer und Salz?;Fond;Bouquet;Basiswürze;Assaisonnement;3;1
Was ist ein Löffel?;Ein Kochgerät;Ein Messer;Ein Topf;Ein Herd;0;1
Welche Farbe hat eine reife Tomate?;Grün;Gelb;Rot;Blau;2;1
Was bedeutet „al dente“?;Sehr weich;Angebrannt;Bissfest;Kalt;2;1
Was ist Butter?;Ein Fett;Ein Gemüse;Ein Gewürz;Ein Getränk;0;1
Woraus besteht ein Omelett hauptsächlich?;Mehl;Reis;Eier;Milch;2;1
Was ist Wasser?;Ein Gewürz;Ein Getränk;Ein Fett;Ein Gemüse;1;1
Wie nennt man das Kochen in Wasser?;Frittieren;Braten;Kochen;Grillieren;2;1
Was ist Zucker?;Ein Salz;Ein Fett;Ein Süßstoff;Ein Gewürz;2;1
Was ist ein Topf?;Ein Besteck;Ein Kochgefäß;Ein Messer;Ein Teller;1;1
Was ist ein Herd?;Ein Kühlgerät;Ein Kochgerät;Ein Messer;Ein Mixer;1;1
Welche Zutat ist tierischen Ursprungs?;Mehl;Milch;Salz;Reis;1;1
Was ist ein Apfel?;Ein Gemüse;Ein Obst;Ein Gewürz;Ein Getreide;1;1
Wozu dient ein Sieb?;Zum Schneiden;Zum Abgießen;Zum Würzen;Zum Braten;1;1
Was ist Pfeffer?;Ein Kraut;Ein Gewürz;Ein Fett;Ein Gemüse;1;1
Was ist Salz?;Ein Gewürz;Ein Fett;Ein Zucker;Ein Getränk;0;1
Welche Farbe hat Salz?;Schwarz;Grün;Weiß;Rot;2;1
Was ist Brot?;Ein Getränk;Ein Backprodukt;Ein Gewürz;Ein Fett;1;1
Woraus besteht Reis?;Getreide;Milch;Fleisch;Fett;0;1
Was ist eine Pfanne?;Ein Kochgefäß;Ein Besteck;Ein Teller;Ein Ofen;0;1
Was ist ein Messer?;Ein Kochgerät;Ein Besteck;Ein Topf;Ein Herd;1;1
Was ist Käse?;Ein Fett;Ein Milchprodukt;Ein Gemüse;Ein Getränk;1;1
Was ist Suppe?;Ein Getränk;Ein flüssiges Gericht;Ein Gewürz;Ein Dessert;1;1
Was ist ein Kühlschrank?;Ein Kochgerät;Ein Kühlgerät;Ein Backofen;Ein Mixer;1;1
Wie nennt man warmes Fett zum Garen?;Fond;Sud;Fettbad;Frittierfett;3;1
Was ist Mehl?;Ein Fett;Ein Getreideprodukt;Ein Gewürz;Ein Gemüse;1;1
Was ist ein Ei?;Ein Gewürz;Ein tierisches Produkt;Ein Getränk;Ein Gemüse;1;1
Was ist Kaffee?;Ein Gericht;Ein Getränk;Ein Gewürz;Ein Fett;1;1
Was ist Tee?;Ein Getränk;Ein Gewürz;Ein Fett;Ein Gericht;0;1
Was ist Zucker braun karamellisiert?;Geschmolzen;Karamell;Fond;Jus;1;1
Was ist ein Teller?;Ein Kochgerät;Ein Essgeschirr;Ein Topf;Ein Messer;1;1
Was ist ein Glas?;Ein Kochgerät;Ein Trinkgefäß;Ein Topf;Ein Besteck;1;1
Was ist ein Löffel aus Metall?;Besteck;Geschirr;Topf;Pfanne;0;1
Was ist ein Backofen?;Ein Kühlgerät;Ein Kochgerät;Ein Mixer;Ein Besteck;1;1
Was ist ein Dessert?;Vorspeise;Hauptgericht;Nachspeise;Getränk;2;1
Was ist Eiscreme?;Ein Getränk;Ein Dessert;Ein Gewürz;Ein Brot;1;1
Was ist Schokolade?;Ein Gewürz;Ein Dessert;Ein Fett;Ein Gemüse;1;1
Was ist Honig?;Ein Fett;Ein Süßungsmittel;Ein Salz;Ein Gewürz;1;1
Was ist Milch?;Ein Fett;Ein Getränk;Ein Gewürz;Ein Getreide;1;1
Was ist ein Mixer?;Ein Schneidgerät;Ein Küchengerät;Ein Herd;Ein Topf;1;1
Was ist ein Schneebesen?;Zum Rühren;Zum Schneiden;Zum Braten;Zum Kühlen;0;1
Was ist Öl?;Ein Fett;Ein Getränk;Ein Gewürz;Ein Gemüse;0;1
Was ist Essig?;Ein Fett;Ein Säuerungsmittel;Ein Zucker;Ein Getränk;1;1
Was ist ein Salat?;Ein Getränk;Ein kaltes Gericht;Ein Dessert;Ein Brot;1;1
Was ist ein Gewürz?;Zum Würzen;Zum Backen;Zum Kühlen;Zum Waschen;0;1
Was ist ein Fond?;Ein Gewürz;Ein Kochgrundstock;Ein Dessert;Ein Teig;1;2
Was bedeutet „blanchieren“?;Anbraten;Kurz kochen und abschrecken;Backen;Marinieren;1;2
Was ist ein Bouquet garni?;Ein Messer;Ein Kräuterbund;Ein Topf;Ein Dessert;1;2
Was ist Julienne?;Eine Soße;Eine Schnitttechnik;Ein Gewürz;Ein Fisch;1;2
Was ist eine Reduktion?;Verdünnen;Einkochen;Kühlen;Würzen;1;2
Was ist ein Ragout?;Ein Dessert;Ein geschmortes Gericht;Ein Salat;Ein Getränk;1;2
Was ist eine Emulsion?;Eine Trennung;Eine Verbindung von Fett und Wasser;Ein Garpunkt;Ein Schnitt;1;2
Was ist Mirepoix?;Ein Fisch;Gemüsewürfel;Ein Fond;Ein Messer;1;2
Was ist ein Jus?;Ein Dessert;Ein Bratensaft;Ein Gewürz;Ein Teig;1;2
Was ist Poelieren?;Kochen;Sanftes Garen mit Fett;Grillen;Frittieren;1;2
Was ist eine Velouté?;Eine Mehlschwitze;Eine helle Grundsoße;Ein Dessert;Ein Teig;1;2
Was ist ein Passiersieb?;Zum Schneiden;Zum Feinabseihen;Zum Backen;Zum Würzen;1;2
Was ist Confieren?;Kochen in Zucker;Garen in Fett;Grillen;Räuchern;1;2
Was ist eine Marinade?;Ein Dessert;Eine Würzflüssigkeit;Ein Teig;Ein Messer;1;2
Was ist ein Bindemittel?;Zum Würzen;Zum Andicken;Zum Kühlen;Zum Schneiden;1;2
Was ist Stärke?;Ein Fett;Ein Bindemittel;Ein Gewürz;Ein Getränk;1;2
Was ist Pochieren?;Braten;Garen unter Siedepunkt;Backen;Frittieren;1;2
Was ist ein Coulis?;Ein Püree;Eine Soße;Ein Brot;Ein Gewürz;1;2
Was ist ein Schaum?;Ein Dessert;Eine aufgeschlagene Masse;Ein Teig;Ein Fett;1;2
Was ist ein Garpunkt?;Eine Temperatur;Der optimale Garzustand;Ein Messer;Ein Gewürz;1;2
Was ist ein Legieren?;Würzen;Binden mit Eigelb;Kühlen;Braten;1;2
Was ist ein Ansatz?;Ein Dessert;Grundlage für Soßen;Ein Teig;Ein Gewürz;1;2
Was ist eine Farce?;Ein Dessert;Eine Füllmasse;Ein Fond;Ein Teig;1;2
Was ist ein Dämpfer?;Ein Topf;Ein Gargerät;Ein Gewürz;Ein Messer;1;2
Was ist eine Mehlschwitze?;Roux;Fond;Jus;Teig;0;2
Was ist ein Roux?;Fett-Mehl-Gemisch;Ein Messer;Ein Dessert;Ein Fond;0;2
Was ist Glasieren?;Mit Fett überziehen;Mit Zucker überziehen;Kühlen;Marinieren;1;2
Was ist ein Parieren?;Würzen;Putzen von Fleisch;Kochen;Kühlen;1;2
Was ist ein Deglacieren?;Ablöschen;Abkühlen;Braten;Binden;0;2
Was ist ein Sautieren?;Schwenkbraten;Kochen;Dämpfen;Frittieren;0;2
Was ist ein Binden mit Butter?;Montieren;Legieren;Reduzieren;Parieren;0;2
Was ist ein Abrieb?;Schale;Saft;Mark;Kern;0;2
Was ist ein Aromat?;Geschmacksträger;Fett;Zucker;Salz;0;2
Was ist eine Consommé?;Klare Suppe;Eintopf;Soße;Dessert;0;
Welches Fleischteil eignet sich am besten für Wiener Schnitzel?;Oberschale;Unterschale;Nuss;Hüfte;0;2
Was ist das Merkmal eines "Süßwasserfisches"?;Lebt im Fluss oder See;Lebt im Ozean;Hat keine Gräten;Hat immer Schuppen;0;1
Wie nennt man das Bindegewebe bei Fleisch?;Sehnen und Faszien;Muskelfleisch;Fettgewebe;Knochenmark;0;2
Welche Kartoffelsorte ist ideal für Kartoffelsalat?;Festkochend;Mehligkochend;Vorwiegend festkochend;Süßkartoffel;0;1
Was ist ein "Entrecôte"?;Zwischenrippenstück;Lendenstück;Hüftstück;Nackenstück;0;2
Wie nennt man die Garstufe "Medium Rare" auf Deutsch?;Englisch;Rosa;Durch;Blutig;1;1
Welcher Teil des Rindes ist das "Tafelspitz"?;Schwanzstück;Schulter;Nacken;Brust;0;2
Was versteht man unter "Parüren"?;Abschnitte beim Putzen;Gewürzmischung;Küchengeräte;Tischdeko;0;2
Welches Getreide ist glutenfrei?;Reis;Weizen;Roggen;Dinkel;0;1
Was ist die Hauptzutat einer klassischen "Aioli"?;Knoblauch und Öl;Eier und Butter;Milch und Mehl;Tomaten;0;1
Wie viel Gramm wiegt ein Ei der Gewichtsklasse L?;Über 63g;Unter 50g;Genau 70g;Über 80g;0;2
Was ist eine "Farce"?;Zerkleinerte Füllmasse;Witziges Gericht;Saucenart;Gemüsesorte;0;2
Welcher Pilz ist ein "Speisemorchel"?;Edelpilz;Giftpilz;Baumpilz;Zuchtpilz;0;2
Was ist "Tranchieren"?;Fachgerechtes Zerlegen;Kochen in Wein;Einfrieren;Frittieren;0;1
Wie heißt die Lehre der Speisenfolge?;Menükunde;Warenkunde;Logistik;Servicekunde;0;1
Wie hoch ist der durchschnittliche Garverlust bei Fleisch?;0.25;0.1;0.5;0.05;0;3
Was bedeutet "Brutto" beim Wareneinkauf?;Gewicht inklusive Verpackung;Gewicht ohne Verpackung;Preis ohne Steuer;Preis mit Rabatt;0;2
Wie berechnet man den Wareneinsatz?;Anfangsbestand + Zugang - Endbestand;Umsatz - Gewinn;Preis x Menge;Einkauf + Verkauf;0;3
Was ist der "Umsatzsteuer-Satz" für Speisen im Restaurant?;0.19;0.07;0;0.25;0;2
